PR1CSM01,172.31.193.1
PR1WEB01,172.31.193.193
PR1WEB02,172.31.193.194
PR1WEB03,172.31.193.195
PR1WEB04,172.31.193.196
PR1SQL01A,172.31.194.194
PR1SQL01B,172.31.194.195
PR1SQL02A,172.31.194.202
PR1SQL02B,172.31.194.203
PR1UPD01,172.31.195.1
PR1SBFSGW01A,172.31.195.3
PR1SBFSGW01B,172.31.195.4
PR1SBFSOM01,172.31.195.9
PR1SBFSOM02,172.31.195.10
PR1SBFSOM03,172.31.195.11
PR1SBFSDS01,172.31.195.12
PR1SBFSDS02,172.31.195.13
PR1SBFSDS03,172.31.195.14
PR1SBFSDS04,172.31.195.15
PR1SBCCGW01A,172.31.195.17
PR1SBCCGW01B,172.31.195.18
PR1SBCCOM01,172.31.195.23
PR1SBCCOM02,172.31.195.24
PR1SBCCDS01,172.31.195.25
PR1SBCCDS02,172.31.195.26
PR1OTSIAS01A,172.31.195.28
PR1OTSIAS01B,172.31.195.29
PR1OTCSFE01,172.31.195.32
PR1OTCSFE02,172.31.195.33
PR1OTIC01A,172.31.195.35
PR1OTIC01B,172.31.195.36
PR1OBIETL01,172.31.195.38
PR1OBIEE01,172.31.195.39
PR1DC01,172.31.195.193
PR1DC02,172.31.195.194
LT-JM,10.10.10.10
